id,day,symbol,time,timestamp,price,volume
200,2024-09-20,SPX241220P05700000,2024-09-20T16:46:51,1726850811526,133.26,1
201,2024-09-20,SPX241220P05700000,2024-09-20T16:56:45,1726851405478,133.22,10
202,2024-09-20,SPX241220P05700000,2024-09-20T16:57:15,1726851435152,132.95,4
204,2024-09-20,SPX241220P05700000,2024-09-20T16:58:13,1726851493434,133.1,9
205,2024-09-20,SPX241220P05700000,2024-09-20T17:00:11,1726851611519,133.4,10
206,2024-09-20,SPX241220P05700000,2024-09-20T17:00:20,1726851620582,133.4,10
207,2024-09-20,SPX241220P05700000,2024-09-20T17:00:31,1726851631546,133.36,10
208,2024-09-20,SPX241220P05700000,2024-09-20T17:00:47,1726851647218,133.43,2
210,2024-09-20,SPX241220P05700000,2024-09-20T17:00:47,1726851647218,133.43,1
211,2024-09-20,SPX241220P05700000,2024-09-20T17:00:59,1726851659488,132.58,10
212,2024-09-20,SPX241220P05700000,2024-09-20T17:01:14,1726851674202,133.17,1
213,2024-09-20,SPX241220P05700000,2024-09-20T17:10:49,1726852249974,133.85,2
214,2024-09-20,SPX241220P05700000,2024-09-20T17:23:06,1726852986105,133.55,50
215,2024-09-20,SPX241220P05700000,2024-09-20T17:23:06,1726852986188,133.55,100
216,2024-09-20,SPX241220P05700000,2024-09-20T17:50:45,1726854645174,134.65,1
217,2024-09-20,SPX241220P05700000,2024-09-20T17:53:20,1726854800693,134.77,1
218,2024-09-20,SPX241220P05700000,2024-09-20T18:02:09,1726855329171,136.6,1
219,2024-09-20,SPX241220P05700000,2024-09-20T18:10:41,1726855841066,141.23,3
220,2024-09-20,SPX241220P05700000,2024-09-20T18:16:07,1726856167878,139.9,11
221,2024-09-20,SPX241220P05700000,2024-09-20T18:42:21,1726857741763,143.21,3
222,2024-09-20,SPX241220P05700000,2024-09-20T18:44:11,1726857851769,141.8,12
223,2024-09-20,SPX241220P05700000,2024-09-20T18:49:59,1726858199959,141.4,1
